table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position,collation_name,column_default,rounding_mode
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,store_and_fwd_flag,7,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,payment_type,8,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,fare_amount,9,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,extra,10,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,mta_tax,11,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,tip_amount,12,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,tolls_amount,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,imp_surcharge,14,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,airport_fee,15,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,total_amount,16,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,pickup_location_id,17,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,dropoff_location_id,18,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,data_file_year,19,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2014,data_file_month,20,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,vendor_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,pickup_datetime,2,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,dropoff_datetime,3,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,store_and_fwd_flag,4,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,rate_code,5,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,passenger_count,6,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,trip_distance,7,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,fare_amount,8,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,extra,9,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,mta_tax,10,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,tip_amount,11,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,tolls_amount,12,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,ehail_fee,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,airport_fee,14,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,total_amount,15,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,payment_type,16,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,distance_between_service,17,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,time_between_service,18,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,trip_type,19,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,imp_surcharge,20,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,pickup_location_id,21,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,dropoff_location_id,22,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,data_file_year,23,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_green_trips_2022,data_file_month,24,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,vendor_id,1,NO,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,pickup_datetime,2,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,dropoff_datetime,3,YES,TIMESTAMP,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,passenger_count,4,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,trip_distance,5,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,rate_code,6,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,store_and_fwd_flag,7,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,payment_type,8,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,fare_amount,9,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,extra,10,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,mta_tax,11,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,tip_amount,12,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,tolls_amount,13,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,imp_surcharge,14,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,airport_fee,15,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,total_amount,16,YES,NUMERIC,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,pickup_location_id,17,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,dropoff_location_id,18,YES,STRING,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,data_file_year,19,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
bigquery-public-data,new_york_taxi_trips,tlc_yellow_trips_2019,data_file_month,20,YES,INT64,NEVER,,,NO,,NO,NO,,NULL,NULL,
